Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C16, C19, C20, C23, C3, C42, C5, C8, C9",0402,15,100n,
"C13, C18",0402,2,1u,
"C17, C2, C21, C24, C4",0603,5,10u,
"C22, C41",CP_Elec_6.3x7.7,2,100µ 35V,
"C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40",0603,16,1u 50V,
"C6, C7",0402,2,27pF,
"D1, D2",D_SOD-323,2,SD15,
"D3, D7",D_SOD-323,2,1A,
D4,0805,1,LED gn,
D5,D_SMA,1,SMAJ5.0,
D6,D_SOD-323,1,SD05,
"J1, J4",Terminal_Block_RTMPin,2,Conn_01x06,
J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
J6,Molex_KK-396_5273-10A_1x10_P3.96mm_Vertical,1,Conn_01x10,
J7,Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,1,Conn_01x09,
J8,Molex_KK-396_5273-12A_1x12_P3.96mm_Vertical,1,Conn_01x12,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
"Q1, Q13, Q14, Q2, Q3, Q7, Q8, Q9",SOT-23,8,2N7002,
"Q10, Q11, Q12, Q15, Q16, Q4, Q5, Q6",SOT-23,8,AO3401A,
"Q17, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26",SOT-23,10,AO3400A,
"R1, R10, R11, R18, R36, R37, R38, R39, R44, R45, R46, R47, R52, R53, R7, R8",0603,16,10k,
"R12, R13",0402,2,27,
"R14, R19, R58, R6, R62",0402,5,1k,
"R15, R2, R40, R41, R42, R43, R48, R49, R50, R51, R54, R55",0603,12,100R,
"R16, R17",0603,2,5k1,
"R20, R21, R22, R26, R27, R28, R32, R33, R57, R60, R61, R64",0603,12,2k,
"R23, R24, R25, R29, R30, R31, R34, R35",0603,8,3k3,
R4,0603,1,120R,
R56,0603,1,33k,
R59,0603,1,5k,
R63,0603,1,3k,
R9,0603,1,0,
SW1,SW_SPST_SKQG_WithStem,1,Reset,
SW2,SW_SPST_SKQG_WithStem,1,Boot,
SW3,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,ADDRESS,
TP1,TestPoint_Pad_D1.0mm,1,TP_IO26,
TP2,TestPoint_Pad_D1.0mm,1,TP_IO27,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ADM3483,
"U10, U11, U12, U13, U6, U7, U8, U9",SOT-89-3,8,L78L24_SOT89,
U14,SOT-23-5,1,LMV321,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIQ,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,SOT-23-5,1,SN74AHCT1G125,
U5,SOT-23-5,1,AP2112K-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"12MHz,18pF",
