Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C16, C19, C20, C23, C3, C42, C5, C8, C9",0402,15,100n,C1525
"C13, C18",0402,2,1u,C52923
"C17, C2, C21, C24, C4",0603,5,10u,C19702
"C22, C41",CP_Elec_6.3x7.7,2,100µ 35V,C2836437
"C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40",0603,16,1u 50V,C15849
"C6, C7",0402,2,27pF,C1557
"D1, D2",D_SOD-323,2,SD15,C502529
"D3, D7",D_SOD-323,2,1A,C191023
D4,0805,1,LED gn,C2297
D5,D_SMA,1,SMAJ5.0,C2925443
D6,D_SOD-323,1,SD05,C2972756
J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C709357
"Q1, Q13, Q14, Q2, Q3, Q7, Q8, Q9",SOT-23,8,2N7002,C8545
"Q10, Q11, Q12, Q15, Q16, Q4, Q5, Q6",SOT-23,8,AO3401A,C15127
"Q17, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26",SOT-23,10,AO3400A,C20917
"R1, R10, R11, R18, R36, R37, R38, R39, R44, R45, R46, R47, R52, R53, R7, R8",0603,16,10k,C25804
"R12, R13",0402,2,27,C138021
"R14, R19, R58, R6, R62",0402,5,1k,C11702
"R15, R2, R40, R41, R42, R43, R48, R49, R50, R51, R54, R55",0603,12,100R,C22775
"R16, R17",0603,2,5k1,C23186
"R20, R21, R22, R26, R27, R28, R32, R33, R57, R60, R61, R64",0603,12,2k,C22975
"R23, R24, R25, R29, R30, R31, R34, R35",0603,8,3k3,C22978
R4,0603,1,120R,C22787
R56,0603,1,33k,C4216
R59,0603,1,5k,C101077
R63,0603,1,3k,C4211
R9,0603,1,0,C21189
SW1,SW_SPST_SKQG_WithStem,1,Reset,C318884
SW2,SW_SPST_SKQG_WithStem,1,Boot,C318884
SW3,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,ADDRESS,C54950
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ADM3483,C609792
"U10, U11, U12, U13, U6, U7, U8, U9",SOT-89-3,8,L78L24_SOT89,C5309539
U14,SOT-23-5,1,LMV321,C7972
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIQ,C97521
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOT-23-5,1,SN74AHCT1G125,C7484
U5,SOT-23-5,1,AP2112K-3.3,C51118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"12MHz,18pF",C9002
