Designator,Mid X,Mid Y,Rotation,Layer
C1,132.802,-60.294,270.0,top
C10,140.722,-83.758,90.0,top
C11,146.31,-95.188,270.0,top
C12,138.698,-89.473,180.0,top
C13,147.824,-81.822,90.0,top
C14,150.604,-84.37,0.0,top
C15,151.898,-89.434,0.0,top
C16,144.762,-80.202,90.0,top
C17,150.096,-82.305,90.0,top
C18,148.826,-81.822,90.0,top
C19,144.786,-54.802,270.0,top
C2,138.684,-65.3796,180.0,top
C20,166.632,-62.8396,180.0,top
C21,158.486,-61.341,180.0,top
C22,147.574,-62.738,0.0,top
C23,155.9336,-62.8568,270.0,top
C24,158.626,-67.31,180.0,top
C25,175.1584,-60.6044,180.0,top
C26,173.6344,-74.4728,180.0,top
C27,173.622,-67.3608,180.0,top
C28,178.943,-64.643,90.0,top
C29,177.4444,-78.7908,90.0,top
C3,145.294,-69.026,270.0,top
C30,177.3428,-71.7804,90.0,top
C31,173.6344,-81.5848,180.0,top
C32,173.6344,-88.6968,180.0,top
C33,173.6344,-95.7072,180.0,top
C34,177.4952,-85.852,90.0,top
C35,177.4444,-92.964,90.0,top
C36,177.4444,-99.9744,90.0,top
C37,173.6344,-102.8192,180.0,top
C38,158.4322,-100.7364,180.0,top
C39,177.4444,-107.0864,90.0,top
C4,144.786,-75.884,0.0,top
C40,162.052,-105.0544,90.0,top
C41,190.119,-61.722,0.0,top
C42,142.5448,-105.3592,180.0,top
C5,138.944,-74.36,180.0,top
C6,140.698,-95.668,90.0,top
C7,145.27,-96.554,90.0,top
C8,147.326,-94.66,270.0,top
C9,143.746,-80.202,90.0,top
D1,140.589,-59.786,0.0,top
D2,136.866,-59.786,0.0,top
D3,152.332,-55.46,90.0,top
D4,158.248,-81.98,180.0,top
D5,163.576,-60.579,180.0,top
D6,169.545,-63.119,270.0,top
D7,169.545,-60.071,0.0,top
J1,127.768,-51.78,180.0,top
J2,155.3822,-96.1386,90.0,top
J3,149.612,-48.96,180.0,top
J4,169.542,-51.78,180.0,top
J6,190.2968,-87.4268,270.0,top
J7,106.426,-89.154,90.0,top
J8,112.776,-83.566,90.0,top
J9,132.6538,-95.7838,270.0,top
JP1,141.605,-54.224,180.0,top
Q1,181.61,-61.214,180.0,top
Q10,181.864,-85.598,180.0,top
Q11,181.864,-92.7608,180.0,top
Q12,181.8132,-99.7712,180.0,top
Q13,180.34,-103.378,180.0,top
Q14,165.1508,-101.3968,180.0,top
Q15,181.7624,-106.8832,180.0,top
Q16,166.4716,-104.8512,180.0,top
Q17,121.0564,-92.5576,0.0,top
Q18,121.0587,-89.1134,0.0,top
Q19,121.0587,-85.659,0.0,top
Q2,180.2384,-75.1332,180.0,top
Q20,121.0587,-82.2046,0.0,top
Q21,121.0564,-78.7502,0.0,top
Q22,121.0564,-75.2856,0.0,top
Q23,121.0564,-71.8058,0.0,top
Q24,121.0564,-68.3514,0.0,top
Q25,121.0564,-64.8716,0.0,top
Q26,121.0564,-61.3918,0.0,top
Q3,180.734,-68.1228,180.0,top
Q4,183.1848,-64.643,180.0,top
Q5,181.8132,-78.5876,180.0,top
Q6,181.7624,-71.5772,180.0,top
Q7,180.1876,-82.0928,180.0,top
Q8,180.1876,-89.2048,180.0,top
Q9,180.1876,-96.3168,180.0,top
R1,158.502,-84.012,0.0,top
R10,136.906,-73.152,90.0,top
R11,139.192,-72.517,180.0,top
R12,145.778,-81.187,270.0,top
R13,146.794,-81.187,270.0,top
R14,145.294,-94.441,90.0,top
R15,151.62,-82.33,270.0,top
R16,150.374,-55.31,270.0,top
R17,146.564,-55.818,270.0,top
R18,162.56,-64.9732,270.0,top
R19,154.432,-86.552,90.0,top
R2,134.326,-60.294,270.0,top
R20,180.467,-64.643,90.0,top
R21,179.0192,-78.7908,90.0,top
R22,178.956,-71.7804,90.0,top
R23,178.943,-61.595,90.0,top
R24,177.4444,-75.3872,90.0,top
R25,177.94,-68.453,90.0,top
R26,179.07,-85.852,90.0,top
R27,179.0192,-92.964,90.0,top
R28,179.0192,-99.9744,90.0,top
R29,177.4444,-82.296,90.0,top
R30,177.3936,-89.4588,90.0,top
R31,177.3936,-96.52,90.0,top
R32,179.0192,-107.0864,90.0,top
R33,163.6268,-105.0544,90.0,top
R34,177.5968,-103.5812,90.0,top
R35,162.3568,-101.6508,90.0,top
R36,124.6124,-91.7956,180.0,top
R37,124.6147,-88.3514,180.0,top
R38,124.6147,-84.77,180.0,top
R39,124.6147,-81.4426,180.0,top
R4,138.944,-61.564,180.0,top
R40,124.6124,-93.3196,180.0,top
R41,124.6147,-89.8754,180.0,top
R42,124.6147,-86.548,180.0,top
R43,124.6147,-83.0936,180.0,top
R44,124.6124,-77.8612,180.0,top
R45,124.6124,-74.3966,180.0,top
R46,124.6124,-70.9168,180.0,top
R47,124.6124,-67.4624,180.0,top
R48,124.6124,-79.5122,180.0,top
R49,124.6124,-76.0476,180.0,top
R50,124.6124,-72.5678,180.0,top
R51,124.6124,-69.1134,180.0,top
R52,124.6124,-64.1096,180.0,top
R53,124.6124,-60.8076,180.0,top
R54,124.6124,-65.6336,180.0,top
R55,124.6124,-62.3316,180.0,top
R56,142.9004,-103.886,180.0,top
R57,140.4112,-103.9368,90.0,top
R58,138.1252,-108.6612,180.0,top
R59,134.5692,-106.934,0.0,top
R6,154.438,-73.344,270.0,top
R60,134.557,-105.41,0.0,top
R61,134.557,-103.8352,0.0,top
R62,134.5184,-102.5144,0.0,top
R63,137.6172,-106.934,0.0,top
R64,137.605,-105.41,0.0,top
R7,154.692,-76.9,90.0,top
R8,135.382,-67.31,270.0,top
R9,135.382,-70.5104,270.0,top
SW1,158.502,-89.346,270.0,top
SW2,158.63,-75.026,270.0,top
SW3,126.6952,-103.632,180.0,top
TP4,155.073,-83.504,0.0,top
TP5,142.5,-46.674,0.0,top
U1,140.97,-68.8848,270.0,top
U10,173.7868,-91.948,0.0,top
U11,173.7868,-98.9584,0.0,top
U12,173.7868,-106.0704,0.0,top
U13,158.5468,-104.0384,0.0,top
U14,141.3764,-107.696,180.0,top
U2,137.904,-77.758,270.0,top
U3,145.548,-88.076,0.0,top
U4,165.6025,-65.0748,180.0,top
U5,158.6484,-64.4144,180.0,top
U6,175.387,-63.881,0.0,top
